city,n,mean,std,p10,p25,p50,p75,p90,label,short,koppen
svi_sg,21772,1.9570028525384475,0.6956350835220535,0.9808067381381989,1.4234071969985962,1.9972925186157227,2.454881489276886,2.844598984718323,Singapore,Singapore,Af
svi_jh,172225,1.3507889470718029,0.8098947950118072,0.5006155967712402,0.6835043430328369,1.1060689687728882,1.8874768018722536,2.60685453414917,Johannesburg,Johannesburg,Cwb
svi_hk,16955,1.7324007431443411,0.6542966334267705,0.8287765860557557,1.2757141590118408,1.7261531352996826,2.158131957054138,2.5706623554229737,Hong Kong,Hong Kong,Cwa
svi_tokyo,175515,1.4589620873937783,0.7229688515199393,0.6034377813339233,0.8436849415302277,1.351694941520691,1.9600239992141724,2.480256748199463,Tokyo,Tokyo,Cfa
svi_ny,54377,1.4134781020193454,0.7527668584092936,0.5231695175170898,0.7277299165725708,1.3118230104446411,1.9857569932937624,2.4691667556762695,New York,New York,Cfa
svi_melbourne,226546,1.864156619709778,0.8396505236306235,0.7518186867237091,1.0930407047271729,1.8723020553588867,2.5785741209983826,2.974645733833313,Melbourne,Melbourne,Cfb
svi_rio,55233,1.3620799279382594,0.7245887486959098,0.5311710357666016,0.7246609926223755,1.2314656972885132,1.8867257833480835,2.394181919097901,Rio de Janeiro,Rio,Aw
svi_capetown,169843,1.2021979780491456,0.74831917177695,0.42099199891090394,0.5770485997200012,0.9698181748390198,1.7131087183952332,2.3693830490112306,Cape Town,Cape Town,Csb
