month,n_days,t_mean,rh,wind,utci,demand,utci_shade,demand_shade,utci_plus15,demand_plus15,utci_shade_plus15,demand_shade_plus15,utci_plus25,demand_plus25,utci_shade_plus25,demand_shade_plus25,city,v_bar,v_need,v_need_plus15,v_need_plus25,shr,shr_plus15,shr_plus25,rta,inadequate_frac
1,310,27.870927419354835,77.68225806451613,3.5935483870967744,33.062697488225325,7.112822929918582,29.17490978605294,3.2572850027798705,35.19060622353817,9.195286855298201,31.480587513944684,5.486130284185119,36.70492807214363,10.704928072143625,33.113078396079224,7.113078396079225,svi_sg,1.9570028525384475,1.5419896306374545,1.9934472039175337,2.3207224820025454,0.415013221900993,-0.03644435137908619,-0.36371962946409786,1.2691413830905125,0.29303692816461513
2,283,28.603533568904595,72.46201413427562,4.040132508833922,33.69033062073941,7.704928687638269,29.305789538617468,3.3897836048818504,35.796896524743495,9.796896524743497,31.60330540328462,5.603420667559891,37.28395100142258,11.283951001422576,33.213663116279335,7.213663116279335,svi_sg,1.9570028525384475,1.6703523000923712,2.1238702273944434,2.4462489237046006,0.2866505524460763,-0.1668673748559959,-0.48924607116615304,1.1716108346905167,0.3431012309388205
3,310,29.26266129032258,72.55967741935484,2.864161290322581,36.081041045747455,10.090944020467958,31.40426670451405,5.416843384965738,38.14642537374793,12.146425373747931,33.65370783983322,7.653707839833219,39.6257872594057,13.625787259405701,35.25198330782183,9.25198330782183,svi_sg,1.9570028525384475,2.1876168149011876,2.633224833539526,2.9539358522335712,-0.23061396236274012,-0.6762219810010786,-0.9969329996951237,0.8945821037798355,0.6052268969318391
4,300,29.055416666666666,77.7675,2.064575,36.701669852202194,10.701669852202192,32.328731959189646,6.328731959189642,38.831234946871575,12.831234946871575,34.661899519503315,8.661899519503313,40.38953959506694,14.389539595066948,36.36203585754047,10.36203585754047,svi_sg,1.9570028525384475,2.320016132158956,2.781684772880376,3.1195098013629727,-0.36301327962050856,-0.8246819203419284,-1.1625069488245252,0.8435298468021012,0.6784401984199889
5,310,29.040967741935486,79.36935483870968,2.408608870967742,35.91359599283564,9.913595992835635,31.94267101057573,5.942671010575726,38.11675512176846,12.116755121768463,34.34495943855258,8.344959438552573,39.73300039702275,13.733000397022748,36.09916179412434,10.099161794124345,svi_sg,1.9570028525384475,2.1491695173489376,2.626792616494125,2.9771785996072198,-0.19216666481049005,-0.6697897639556776,-1.0201757470687722,0.9105856177191954,0.5839610508910528
6,300,28.54054166666667,79.44375,2.794725,34.50705418734881,8.507054187348803,30.71680300989326,4.71680300989326,36.66920487526039,10.669204875260391,33.06768716079124,7.067687160791239,38.237398787879116,12.237398787879114,34.76584599690435,8.765845996904357,svi_sg,1.9570028525384475,1.8442451714895916,2.312978046395205,2.6529469695516443,0.11275768104885597,-0.3559751938567577,-0.6959441170131968,1.0611402880658116,0.4198511850082675
7,310,28.61383064516129,77.67338709677419,3.4515887096774187,33.91964109619326,7.925230375289726,29.91747632196485,3.9230656010613183,36.08202702524069,10.08202702524069,32.27749565546672,6.277495655466721,37.63414652142554,11.634146521425544,33.96513300070069,7.965133000700687,svi_sg,1.9570028525384475,1.7181115261152196,2.185683698568563,2.5221678472966502,0.23889132642322797,-0.22868084603011551,-0.5651649947582027,1.1390429682777226,0.36128972992834835
8,310,28.46875,77.62741935483871,3.4485322580645166,33.652400704321515,7.652400704321521,29.77113577610708,3.7711357761070876,35.79436217821154,9.794362178211545,32.10701020320989,6.107010203209885,37.32794758755522,11.327947587555213,33.77322601002158,7.773226010021589,svi_sg,1.9570028525384475,1.658964753067684,2.123320806143385,2.455786948236972,0.29803809947076343,-0.1663179536049375,-0.49878409569852433,1.1796530631043514,0.3382785228734154
9,300,28.667791666666666,76.30791666666667,3.1349833333333335,34.16791090585437,8.167910905854367,30.29842992086234,4.299295712668714,36.2829714859514,10.282971485951391,32.593695456802,6.593695456802,37.797521093451095,11.79752109345109,34.233099511266545,8.233099511266547,svi_sg,1.9570028525384475,1.7707222638455562,2.2292464693282,2.557585837939095,0.18628058869289132,-0.2722436167897526,-0.6005829854006475,1.1052003425361228,0.3857247841264009
10,310,28.69616935483871,77.59112903225807,2.5681532258064514,35.03949848147333,9.039498481473329,31.130015713182342,5.13001571318234,37.16109427910777,11.16109427910777,33.43158671493535,7.431586714935351,38.695197840812284,12.695197840812284,35.090714895577904,9.090714895577904,svi_sg,1.9570028525384475,1.9596738259804316,2.419614801959958,2.752193274358318,-0.0026709734419840814,-0.4626119494215106,-0.7951904218198704,0.9986370316291551,0.4798824177843101
11,300,28.08616666666666,80.515,2.152670833333333,34.86585301911458,8.865853019114581,31.246847468068783,5.2468474680687756,36.98771633355522,10.987716333555218,33.53528792078761,7.535287920787613,38.52908156669905,12.529081566699045,35.18859850230072,9.188598502300719,svi_sg,1.9570028525384475,1.922029207943033,2.3820281789190947,2.7161809098320897,0.03497364459541452,-0.42502532638064716,-0.7591780572936422,1.0181962087000975,0.46022414109865883
12,310,28.06270161290322,79.10725806451613,2.9968104838709677,34.098859514176446,8.100222620422008,30.351472563783688,4.355533765478322,36.23354375403339,10.233543754033397,32.66668891257118,6.666688912571179,37.77075444021299,11.770754440212984,34.32467347999422,8.32467347999422,svi_sg,1.9570028525384475,1.7560481133316588,2.2185310261301296,2.5517830923700444,0.20095473920678875,-0.2615281735916821,-0.5947802398315969,1.1144357820729227,0.37860554841080285
1,310,24.05725806451613,49.55080645161291,3.0211532258064517,29.79623028177046,4.393289503459212,23.142344294111513,0.21375734203738925,31.41034492877429,5.7773193363114,24.955145819923548,0.6845913112107253,32.512603769493026,6.754936268810632,26.185675148965494,1.2638122399851681,svi_jh,1.3507889470718029,0.9524216932530923,1.2524656661986402,1.464403343756806,0.3983672538187105,0.09832328087316267,-0.11361439668500317,1.4182677238881938,0.4250428218899695
2,283,23.68202296819788,51.63648409893993,3.0444920494699645,29.21864318477244,3.999816158684221,22.787051386616568,0.13207276337395674,30.835871126134595,5.353394867249288,24.596515891908172,0.48322471864781574,31.939443329488856,6.321615026404227,25.82441836455455,0.9917734123802028,svi_jh,1.3507889470718029,0.8671205654795914,1.1605630359900814,1.3704635860672012,0.4836683815922115,0.1902259110817215,-0.01967463899539834,1.5577867725057377,0.37583974452024965
3,310,22.89701612903226,47.57782258064516,3.0186451612903227,28.53465885512858,3.3919575913235525,21.486625485987513,0.04061226443153933,30.101248414698592,4.627342342704494,23.248544385027405,0.22576994308241846,31.170042539981214,5.553871370710405,24.446862147448385,0.5244054119333846,svi_jh,1.3507889470718029,0.7353428427667587,1.0031620328754103,1.2040243582483923,0.6154461043050442,0.3476269141963926,0.1467645888234106,1.836951240307721,0.2890637247786326
4,300,20.12075,47.877916666666664,3.1893208333333334,25.32128155385079,1.4687830920125144,17.840641002351067,0.0,26.86264895107392,2.312656218848904,19.564858712576626,0.012521628824947678,27.907423177216977,3.0028689895208847,20.73292958221183,0.0425959400240418,svi_jh,1.3507889470718029,0.3184176409077065,0.5013609847778193,0.6509922838831275,1.0323713061640962,0.8494279622939835,0.6997966631886754,4.242192559498704,0.0019102917694875888
5,310,18.350524193548388,36.88346774193548,2.974971774193548,24.41089327709857,0.9964171358371016,15.727529683630253,0.0,25.86519075177979,1.682673094241321,17.382019933087935,0.0,26.842218229702855,2.2576558467857293,18.496923103491444,0.0,svi_jh,1.3507889470718029,0.21601337561595538,0.3647868769738175,0.4894374483369103,1.1347755714558474,0.9860020700979854,0.8613514987348926,6.253265304613987,0.0
6,300,15.500166666666667,32.7475,3.369041666666666,20.94970076181924,0.10682792860845612,11.879203899135993,0.0,22.47490903878222,0.290908800932371,13.572712160274916,0.0,23.484641661356072,0.5122748372246612,14.703810492172773,0.0,svi_jh,1.3507889470718029,0.023159237872185188,0.06306614953284466,0.11105611580941738,1.3276297091996176,1.2877227975389582,1.2397328312623854,58.32613985515186,0.0
7,310,15.675403225806452,29.175403225806452,3.5523669354838714,20.970508474148783,0.16374001923697773,11.680956691229484,0.0,22.522505163695996,0.3858881698926048,13.418186277782784,0.0,23.550469932222626,0.6146024796974502,14.576058861146524,0.0,svi_jh,1.3507889470718029,0.035497215981824974,0.08365673691343702,0.13323973617720625,1.3152917310899779,1.2671322101583657,1.2175492108945967,38.05337713705278,0.0
8,310,19.279637096774195,25.087096774193547,4.194209677419354,23.81488485189114,0.8665450388104395,14.989604294741751,0.0,25.433701513457144,1.4800663990540317,16.832387293915875,0.001702226254264364,26.513878233914653,2.036489004304287,18.065439186453123,0.011509758669460279,svi_jh,1.3507889470718029,0.18785839005011243,0.32086375022727553,0.44149066530752945,1.1629305570216903,1.0299251968445273,0.9092982817642734,7.190463767476508,0.0
